candidate_price,predicted_demand,revenue,profit,margin_pct,unit_margin_dollar,optimization_score,is_valid,violations,is_current_price,sku_id
588.53,8.27,4867.14,2303.44,47.33,278.53,2303.44,True,None,False,SKU-4412-MTR
597.45,8.27,4940.91,2377.21,48.11,287.45,2377.21,True,None,False,SKU-4412-MTR
606.37,8.27,5014.68,2450.98,48.88,296.37,2450.98,True,None,False,SKU-4412-MTR
615.28,8.27,5088.37,2524.67,49.62,305.28,2524.67,True,None,False,SKU-4412-MTR
624.2,8.27,5162.13,2598.43,50.34,314.2,2598.43,True,None,False,SKU-4412-MTR
633.12,8.27,5235.9,2672.2,51.04,323.12,2672.2,True,None,False,SKU-4412-MTR
642.04,8.21,5271.15,2726.05,51.72,332.04,2726.05,False,Exceeds maximum price hike (+20.0%),False,SKU-4412-MTR
779.92,6.08,4741.91,1641.11,34.61,269.92,1641.11,True,None,False,SKU-7731-SFT
796.17,6.08,4840.71,1739.91,35.94,286.17,1739.91,True,None,False,SKU-7731-SFT
812.42,6.07,4931.39,1835.69,37.22,302.42,1835.69,True,None,False,SKU-7731-SFT
828.67,6.07,5030.03,1934.33,38.46,318.67,1934.33,True,None,False,SKU-7731-SFT
844.91,6.14,5187.75,2056.35,39.64,334.91,2056.35,True,None,False,SKU-7731-SFT
861.16,6.06,5218.63,2128.03,40.78,351.16,2128.03,True,None,False,SKU-7731-SFT
877.41,6.0,5264.46,2204.46,41.87,367.41,2204.46,True,None,False,SKU-7731-SFT
893.66,5.91,5281.53,2267.43,42.93,383.66,2267.43,True,None,False,SKU-7731-SFT
909.91,5.9,5368.47,2359.47,43.95,399.91,2359.47,True,None,False,SKU-7731-SFT
926.16,5.89,5455.08,2451.18,44.93,416.16,2451.18,True,None,False,SKU-7731-SFT
942.4,5.76,5428.22,2490.62,45.88,432.4,2490.62,True,None,False,SKU-7731-SFT
958.65,5.76,5521.82,2584.22,46.8,448.65,2584.22,True,None,False,SKU-7731-SFT
974.9,5.76,5615.42,2677.82,47.69,464.9,2677.82,True,None,True,SKU-7731-SFT
991.15,5.74,5689.2,2761.8,48.54,481.15,2761.8,True,None,False,SKU-7731-SFT
1007.4,5.67,5711.96,2820.26,49.37,497.4,2820.26,True,None,False,SKU-7731-SFT
1023.64,5.67,5804.04,2912.34,50.18,513.64,2912.34,True,None,False,SKU-7731-SFT
1039.89,5.53,5750.59,2930.29,50.96,529.89,2930.29,True,None,False,SKU-7731-SFT
1056.14,5.53,5840.45,3020.15,51.71,546.14,3020.15,True,None,False,SKU-7731-SFT
1072.39,5.53,5930.32,3110.02,52.44,562.39,3110.02,True,None,False,SKU-7731-SFT
1088.64,5.53,6020.18,3199.88,53.15,578.64,3199.88,True,None,False,SKU-7731-SFT
1104.89,5.53,6110.04,3289.74,53.84,594.89,3289.74,True,None,False,SKU-7731-SFT
1121.13,5.47,6132.58,3342.88,54.51,611.13,3342.88,True,None,False,SKU-7731-SFT
1137.38,5.35,6084.98,3356.48,55.16,627.38,3356.48,False,Exceeds competitor benchmark ratio ($1128.98),False,SKU-7731-SFT
1153.63,5.35,6171.92,3443.42,55.79,643.63,3443.42,False,Exceeds competitor benchmark ratio ($1128.98),False,SKU-7731-SFT
1169.88,5.35,6258.86,3530.36,56.41,659.88,3530.36,False,"Exceeds maximum price hike (+20.0%), Exceeds competitor benchmark ratio ($1128.98)",False,SKU-7731-SFT
304.42,19.78,6021.43,1570.93,26.09,79.42,1570.93,False,Exceeds maximum price drop (-20.0%),False,SKU-8921-PRO
310.77,19.77,6143.92,1695.67,27.6,85.77,1695.67,True,None,False,SKU-8921-PRO
317.11,19.77,6269.26,1821.01,29.05,92.11,1821.01,True,None,False,SKU-8921-PRO
323.45,19.08,6171.43,1878.43,30.44,98.45,1878.43,True,None,False,SKU-8921-PRO
329.79,18.47,6091.22,1935.47,31.77,104.79,1935.47,True,None,False,SKU-8921-PRO
336.13,18.53,6228.49,2059.24,33.06,111.13,2059.24,True,None,False,SKU-8921-PRO
342.48,18.8,6438.62,2208.62,34.3,117.48,2208.62,True,None,False,SKU-8921-PRO
348.82,18.98,6620.6,2350.1,35.5,123.82,2350.1,True,None,False,SKU-8921-PRO
355.16,17.74,6300.54,2309.04,36.65,130.16,2309.04,True,None,False,SKU-8921-PRO
361.5,16.46,5950.29,2246.79,37.76,136.5,2246.79,True,None,False,SKU-8921-PRO
367.85,16.29,5992.28,2327.03,38.83,142.85,2327.03,True,None,False,SKU-8921-PRO
374.19,16.49,6170.39,2460.14,39.87,149.19,2460.14,True,None,False,SKU-8921-PRO
380.53,15.61,5940.07,2427.82,40.87,155.53,2427.82,True,None,True,SKU-8921-PRO
386.87,15.75,6093.2,2549.45,41.84,161.87,2549.45,True,None,False,SKU-8921-PRO
393.21,15.75,6193.06,2649.31,42.78,168.21,2649.31,True,None,False,SKU-8921-PRO
399.56,15.57,6221.15,2717.9,43.69,174.56,2717.9,True,None,False,SKU-8921-PRO
405.9,15.38,6242.74,2782.24,44.57,180.9,2782.24,True,None,False,SKU-8921-PRO
412.24,15.25,6286.66,2855.41,45.42,187.24,2855.41,True,None,False,SKU-8921-PRO
418.58,15.25,6383.34,2952.09,46.25,193.58,2952.09,True,None,False,SKU-8921-PRO
424.93,14.99,6369.7,2996.95,47.05,199.93,2996.95,True,None,False,SKU-8921-PRO
431.27,14.75,6361.23,3042.48,47.83,206.27,3042.48,True,None,False,SKU-8921-PRO
437.61,14.73,6446.0,3131.75,48.58,212.61,3131.75,True,None,False,SKU-8921-PRO
443.95,14.73,6539.38,3225.13,49.32,218.95,3225.13,True,None,False,SKU-8921-PRO
450.29,14.73,6632.77,3318.52,50.03,225.29,3318.52,True,None,False,SKU-8921-PRO
456.64,14.73,6726.31,3412.06,50.73,231.64,3412.06,False,Exceeds maximum price hike (+20.0%),False,SKU-8921-PRO
