feature_name,data_type,category,description,missing_pct,unique_values,leakage_risk,is_model_ready
demand_rolling_min_14,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,31,Zero (Window excludes current t),True
demand_rolling_max_14,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,60,Zero (Window excludes current t),True
demand_rolling_mean_28,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,913,Zero (Window excludes current t),True
demand_rolling_std_28,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,3802,Zero (Window excludes current t),True
demand_rolling_min_28,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,29,Zero (Window excludes current t),True
demand_rolling_max_28,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,58,Zero (Window excludes current t),True
demand_momentum_7_28,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,2993,Zero,True
log_revenue,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,4966,Zero,True
revenue_lag_1,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,4964,Zero (Strictly shifted >= 1d),True
revenue_lag_7,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,4961,Zero (Strictly shifted >= 1d),True
revenue_rolling_mean_7,float64,Rolling Statistic,Historical window aggregations over shifted t-1 signal.,0.0,5050,Zero (Window excludes current t),True
inventory_lag_1,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,649,Zero (Strictly shifted >= 1d),True
inventory_lag_7,float64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,649,Zero (Strictly shifted >= 1d),True
inventory_change_1d,float64,Inventory Dynamics,Runway proxy and stockout risk indicators.,0.0,1142,Zero (Point-in-time stock on hand),True
days_of_supply_proxy,float64,Inventory Dynamics,Runway proxy and stockout risk indicators.,0.0,4794,Zero (Point-in-time stock on hand),True
is_stockout_risk_flag,int64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,2,Zero (Strictly shifted >= 1d),True
is_excess_stock_flag,int64,Autoregressive Lag,Historical value shifted by fixed lag days.,0.0,2,Zero (Strictly shifted >= 1d),True
log_inventory_level,float64,Inventory Dynamics,Runway proxy and stockout risk indicators.,0.0,649,Zero (Point-in-time stock on hand),True
category_Accessories,int64,Categorical Encoding,One-hot binary feature.,0.0,2,Zero (Static attribute),True
category_Hardware & Tools,int64,Categorical Encoding,One-hot binary feature.,0.0,2,Zero (Static attribute),True
category_IoT Hardware,int64,Categorical Encoding,One-hot binary feature.,0.0,2,Zero (Static attribute),True
category_Software,int64,Categorical Encoding,One-hot binary feature.,0.0,2,Zero (Static attribute),True
store_id_STORE-NORTH-01,int64,Categorical Encoding,One-hot binary feature.,0.0,2,Zero (Static attribute),True
store_id_STORE-ONLINE-GLOBAL,int64,Categorical Encoding,One-hot binary feature.,0.0,2,Zero (Static attribute),True
store_id_STORE-WEST-02,int64,Categorical Encoding,One-hot binary feature.,0.0,2,Zero (Static attribute),True
sku_frequency_weight,float64,Domain Feature,"Pricing, cost, or derived margin indicator.",0.0,1,Zero,True
